"source_dist","nrow","proportion","n_sims","n_datasets","coverage","bias_median","bias_q25","bias_q75","width_median"
"lnorm",8,0.05,5000,10,0.9376,0.248840326028842,-0.395772233861331,1.53410608663856,9.43921436433575
"lnorm",8,0.1,5000,10,0.9144,0.257032957654282,-0.304759144450286,1.32514725484368,7.00713603031717
"lnorm",8,0.2,5000,10,0.8924,0.180384213301964,-0.286778132354434,1.01465368029965,4.97525940098755
"lnorm",10,0.01,5000,10,0.9744,-0.315653857731261,-0.77250049141108,0.66144998502907,12.8277884564476
"lnorm",10,0.05,5000,10,0.9506,0.194971093443732,-0.384339350607746,1.18266592852275,7.34451576118464
"lnorm",10,0.1,5000,10,0.932,0.208616365114963,-0.304445571607924,1.04023598701368,5.62140058384184
"lnorm",10,0.2,5000,10,0.9128,0.15162311226012,-0.266327652483532,0.832905471484087,4.14935317995848
"lnorm",16,0.01,5000,10,0.9816,-0.301713822618405,-0.720529586420182,0.532514665601389,7.54545867545955
"lnorm",16,0.05,5000,10,0.9644,0.103747324777969,-0.373391261664012,0.835322300236442,4.57650899892427
"lnorm",16,0.1,5000,10,0.9456,0.123204143968663,-0.2803742889002,0.74477481771278,3.65103609921786
"lnorm",16,0.2,5000,10,0.9248,0.0953759771688293,-0.242693417040793,0.600090302763063,2.86246653322742
"lnorm",26,0.01,5000,10,0.9718,-0.2387178607589,-0.643124031178032,0.527074993403967,4.89170202739993
"lnorm",26,0.05,5000,10,0.9524,0.0391304555523082,-0.331997320071648,0.605396327865319,3.05492003806838
"lnorm",26,0.1,5000,10,0.9394,0.0430671231477165,-0.263306595914358,0.508526326471441,2.47582476418686
"lnorm",26,0.2,5000,10,0.9276,0.0362079476785529,-0.228036144404225,0.417659773265394,2.01723404172426
"lnorm_lnorm",5,0.01,500,1,0.974,-0.0788840023190424,-0.579186392666982,0.447904449953828,1.83376093038102
"lnorm_lnorm",5,0.05,500,1,0.972,-0.0481197565676929,-0.339962541027741,0.0937324023317312,1.27970880165604
"lnorm_lnorm",5,0.1,500,1,0.97,-0.0245220465071804,-0.210910019330484,0.0860808457894151,1.33543272787443
"lnorm_lnorm",5,0.2,500,1,0.97,-0.0281380765757681,-0.120123602600574,0.0583942341285424,1.63634427436675
"lnorm_lnorm",6,0.01,500,1,0.924,-0.677248385886778,-0.826568835659582,-0.356496859532224,1.90015383524306
"lnorm_lnorm",6,0.05,500,1,0.954,-0.395627318704197,-0.545676485507573,-0.202392854528999,1.47780184155814
