"name","step","seconds","bytes"
"sample_step_42_anzg_diuron_fresh_439_TRUE","sample",0.023,12743
"sample_step_42_anzg_diuron_marine_281_TRUE","sample",0.034,11673
"sample_step_42_ccme_chloride_457_TRUE","sample",0.023,12724
"sample_step_42_anzg_bisphenol_a_marine_494_TRUE","sample",0.019,12586
"sample_step_42_anzg_paraquat_fresh_270_TRUE","sample",0.019,11238
"sample_step_42_anzg_nitrate_moderate_fresh_310_TRUE","sample",0.033,11319
"sample_step_42_anzg_sulfometuron_methyl_fresh_296_TRUE","sample",0.024,12477
"sample_step_42_anzg_nitrate_hard_fresh_40_TRUE","sample",0.018,11350
"sample_step_42_anzg_aluminium_marine_419_TRUE","sample",0.032,11358
"sample_step_42_anzg_nitrate_soft_fresh_229_TRUE","sample",0.019,11578
"sample_step_42_anzg_zinc_marine_324_TRUE","sample",0.031,11315
"sample_step_42_anzg_mancozeb_fresh_303_TRUE","sample",0.024,11807
"sample_step_42_anzg_diuron_fresh_339_TRUE","sample",0.023,12735
"sample_step_42_anzg_metolachlor_fresh_19_TRUE","sample",0.021,11594
"sample_step_42_anzg_sulfometuron_methyl_fresh_161_TRUE","sample",0.018,12811
"sample_step_42_anzg_ammonia_fresh_17_TRUE","sample",0.032,11347
"sample_step_42_anzg_picloram_fresh_91_TRUE","sample",0.024,11843
"sample_step_42_ccme_uranium_43_TRUE","sample",0.043,11187
"sample_step_42_anzg_diuron_marine_181_TRUE","sample",0.021,11354
"sample_step_42_ccme_chloride_84_TRUE","sample",0.018,12719
"sample_step_42_anzg_picloram_fresh_465_TRUE","sample",0.031,12143
"sample_step_42_anzg_paraquat_fresh_370_TRUE","sample",0.022,11132
"sample_step_42_anzg_nitrate_moderate_fresh_210_TRUE","sample",0.023,11531
"sample_step_42_anzg_sulfometuron_methyl_fresh_396_TRUE","sample",0.019,12811
"sample_step_42_anzg_simazine_fresh_16_TRUE","sample",0.019,11126
"sample_step_42_anzg_aluminium_marine_319_TRUE","sample",0.033,11346
"sample_step_42_anzg_alpha_cypermethrin_fresh_44_TRUE","sample",0.029,11768
"sample_step_42_anzg_zinc_marine_424_TRUE","sample",0.021,11330
"sample_step_42_anzg_nitrate_soft_fresh_129_TRUE","sample",0.037,11426
"sample_step_42_anzg_mancozeb_fresh_403_TRUE","sample",0.024,12199
"sample_step_42_anzg_nitrate_moderate_fresh_77_TRUE","sample",0.048,11134
"sample_step_42_anzg_diuron_fresh_284_TRUE","sample",0.018,11349
"sample_step_42_anzg_sulfometuron_methyl_fresh_261_TRUE","sample",0.023,11617
"sample_step_42_anzg_aluminium_marine_38_TRUE","sample",0.035,12167
"sample_step_42_anzg_mancozeb_fresh_346_TRUE","sample",0.022,12754
"sample_step_42_anzg_boron_fresh_62_TRUE","sample",0.019,11779
"sample_step_42_anzg_picloram_fresh_66_TRUE","sample",0.018,11374
"sample_step_42_ccme_cadmium_132_TRUE","sample",0.022,11429
"sample_step_42_anzg_picloram_fresh_365_TRUE","sample",0.034,12275
"sample_step_42_anzg_nitrate_moderate_fresh_110_TRUE","sample",0.017,11630
"sample_step_42_anzg_paraquat_fresh_470_TRUE","sample",0.039,12431
"sample_step_42_anzg_sulfometuron_methyl_fresh_496_TRUE","sample",0.022,11830
"sample_step_42_anzg_zinc_marine_124_TRUE","sample",0.02,11137
"sample_step_42_anzg_metsulfuron_methyl_fresh_48_TRUE","sample",0.017,12801
"sample_step_42_anzg_mancozeb_fresh_103_TRUE","sample",0.021,11453
"sample_step_42_anzg_sulfometuron_methyl_fresh_361_TRUE","sample",0.022,11976
"sample_step_42_anzg_nitrate_soft_fresh_66_TRUE","sample",0.035,11374
"sample_step_42_anzg_copper_marine_173_TRUE","sample",0.019,12599
"sample_step_42_anzg_diuron_fresh_184_TRUE","sample",0.024,11700
"sample_step_42_anzg_fluoride_fresh_53_TRUE","sample",0.022,11462
"sample_step_42_ccme_cadmium_76_TRUE","sample",0.02,12075
"sample_step_42_ccme_glyphosate_95_TRUE","sample",0.018,12645
"sample_step_42_anzg_mancozeb_fresh_446_TRUE","sample",0.021,12751
"sample_step_42_ccme_cadmium_232_TRUE","sample",0.034,11992
"sample_step_42_anzg_mancozeb_fresh_389_TRUE","sample",0.021,11446
"sample_step_42_anzg_picloram_fresh_265_TRUE","sample",0.034,12754
"sample_step_42_anzg_picloram_fresh_23_TRUE","sample",0.018,11322
"sample_step_42_anzg_zinc_marine_224_TRUE","sample",0.019,12738
"sample_step_42_anzg_paraquat_fresh_137_TRUE","sample",0.033,11164
"sample_step_42_anzg_mancozeb_fresh_203_TRUE","sample",0.02,11319
"sample_step_42_anzg_sulfometuron_methyl_fresh_461_TRUE","sample",0.019,12530
"sample_step_42_anzg_diuron_fresh_484_TRUE","sample",0.031,11466
"sample_step_42_anzg_copper_marine_273_TRUE","sample",0.035,11498
"sample_step_42_anzg_mancozeb_fresh_146_TRUE","sample",0.025,11761
"sample_step_42_anzg_metsulfuron_methyl_fresh_83_TRUE","sample",0.024,12801
"sample_step_42_anzg_copper_marine_140_TRUE","sample",0.019,11793
"sample_step_42_ccme_cadmium_332_TRUE","sample",0.032,11713
"sample_step_42_anzg_picloram_fresh_165_TRUE","sample",0.032,12725
"sample_step_42_anzg_simazine_fresh_90_TRUE","sample",0.021,11796
"sample_step_42_anzg_fluoride_fresh_80_TRUE","sample",0.02,12749
"sample_step_42_anzg_copper_marine_61_TRUE","sample",0.02,12744
"sample_step_42_anzg_mancozeb_fresh_489_TRUE","sample",0.022,11820
"sample_step_42_anzg_fipronil_fresh_261_TRUE","sample",0.019,11308
"sample_step_42_anzg_paraquat_fresh_237_TRUE","sample",0.032,12754
"sample_step_42_anzg_diuron_fresh_384_TRUE","sample",0.026,11504
"sample_step_42_anzg_copper_marine_373_TRUE","sample",0.019,11299
"sample_step_42_anzg_boron_fresh_160_TRUE","sample",0.023,11454
"sample_step_42_anzg_nitrate_hard_fresh_132_TRUE","sample",0.02,11344
